ph,treatment,disease,Lead,Mercury,Arsenic,Fluoride,Pesticides,Bacteria
5.49,Granular Activated Carbon + Ion Exchange / Coagulation,"Hormonal imbalance, Skin lesions, Cancer",0,0,1,0,1,0
5.5,Ion Exchange / Coagulation + UV Sterilization / Chlorination,"Cholera, Typhoid, Skin lesions, Cancer",0,0,1,0,0,1
4.9,Ion Exchange / Coagulation,"Skin lesions, Cancer",0,0,1,0,0,0
8.04,Activated Alumina + Reverse Osmosis / Ion Exchange + UV Sterilization / Chlorination,"Cholera, Typhoid, Nervous system damage, Skeletal Fluorosis",1,0,0,1,0,1
5.26,Consult Specialist / Advanced Filtration,Unknown Contamination Risk,0,0,0,0,0,0
4.76,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
7.82,UV Sterilization / Chlorination,"Cholera, Typhoid",0,0,0,0,0,1
4.58,Ion Exchange / Coagulation,"Skin lesions, Cancer",0,0,1,0,0,0
5.45,Granular Activated Carbon,Hormonal imbalance,0,0,0,0,1,0
5.65,Activated Alumina + Activated Carbon Filter + Granular Activated Carbon,"Brain damage, Hormonal imbalance, Skeletal Fluorosis",0,1,0,1,1,0
8.4,Activated Alumina + Granular Activated Carbon + Ion Exchange / Coagulation,"Hormonal imbalance, Skeletal Fluorosis, Skin lesions, Cancer",0,0,1,1,1,0
9.65,Reverse Osmosis / Ion Exchange,Nervous system damage,1,0,0,0,0,0
5.98,Activated Alumina + Granular Activated Carbon,"Hormonal imbalance, Skeletal Fluorosis",0,0,0,1,1,0
9.29,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
6.92,No treatment needed,Healthy,0,0,0,0,0,0
5.32,Activated Carbon Filter + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage",1,1,0,0,0,0
7.48,No treatment needed,Healthy,0,0,0,0,0,0
4.61,Activated Alumina + Activated Carbon Filter + Granular Activated Carbon,"Brain damage, Hormonal imbalance, Skeletal Fluorosis",0,1,0,1,1,0
8.33,Activated Alumina + Activated Carbon Filter + Granular Activated Carbon,"Brain damage, Hormonal imbalance, Skeletal Fluorosis",0,1,0,1,1,0
4.74,Activated Alumina + Granular Activated Carbon,"Hormonal imbalance, Skeletal Fluorosis",0,0,0,1,1,0
5.62,Activated Carbon Filter + Granular Activated Carbon + Reverse Osmosis / Ion Exchange,"Brain damage, Hormonal imbalance, Nervous system damage",1,1,0,0,1,0
4.33,Granular Activated Carbon + Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Hormonal imbalance, Nervous system damage, Skin lesions, Cancer",1,0,1,0,1,0
9.36,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
6.42,Granular Activated Carbon + Reverse Osmosis / Ion Exchange + UV Sterilization / Chlorination,"Cholera, Typhoid, Hormonal imbalance, Nervous system damage",1,0,0,0,1,1
6.01,Ion Exchange / Coagulation + UV Sterilization / Chlorination,"Cholera, Typhoid, Skin lesions, Cancer",0,0,1,0,0,1
4.76,Ion Exchange / Coagulation,"Skin lesions, Cancer",0,0,1,0,0,0
8.95,Reverse Osmosis / Ion Exchange,Nervous system damage,1,0,0,0,0,0
8.58,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
5.78,Activated Alumina + Reverse Osmosis / Ion Exchange + UV Sterilization / Chlorination,"Cholera, Typhoid, Nervous system damage, Skeletal Fluorosis",1,0,0,1,0,1
7.15,Granular Activated Carbon + Reverse Osmosis / Ion Exchange,"Hormonal imbalance, Nervous system damage",1,0,0,0,1,0
5.45,Activated Alumina + Reverse Osmosis / Ion Exchange,"Nervous system damage, Skeletal Fluorosis",1,0,0,1,0,0
7.88,No treatment needed,Healthy,0,0,0,0,0,0
5.69,Activated Alumina + Activated Carbon Filter + Ion Exchange / Coagulation,"Brain damage, Skeletal Fluorosis, Skin lesions, Cancer",0,1,1,1,0,0
9.35,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
7.32,No treatment needed,Healthy,0,0,0,0,0,0
7.57,No treatment needed,Healthy,0,0,0,0,0,0
7.93,Consult Specialist / Advanced Filtration,Unknown Contamination Risk,0,0,1,0,0,0
9.16,Granular Activated Carbon + Reverse Osmosis / Ion Exchange,"Hormonal imbalance, Nervous system damage",1,0,0,0,1,0
4.03,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
5.35,Activated Alumina + Activated Carbon Filter + Granular Activated Carbon,"Brain damage, Hormonal imbalance, Skeletal Fluorosis",0,1,0,1,1,0
5.16,Ion Exchange / Coagulation + UV Sterilization / Chlorination,"Cholera, Typhoid, Skin lesions, Cancer",0,0,1,0,0,1
6.13,Activated Alumina,Skeletal Fluorosis,0,0,0,1,0,0
5.39,Activated Carbon Filter,Brain damage,0,1,0,0,0,0
9.99,Activated Alumina,Skeletal Fluorosis,0,0,0,1,0,0
9.37,Activated Carbon Filter,Brain damage,0,1,0,0,0,0
9.9,Activated Carbon Filter + Ion Exchange / Coagulation,"Brain damage, Skin lesions, Cancer",0,1,1,0,0,0
